bid,name,pattern,subPattern,expected,got,delta,deltaAbs
4609231,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [Trickl4sh 220 ~ 1st ~ (Marathon)],ln,density,1,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4609229,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [Rockhill ~ 2nd ~ (Marathon)],ln,density,2,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4609227,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [OVERDRIVERS ~ 3rd ~ (Marathon)],ln,density,3,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4609221,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [Blacksphere ~ 5th ~ (Marathon)],ln,density,5,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4609217,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [#FairyJoke #SDVX_Edit ~ 4th ~ (Marathon)],ln,density,4,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4609220,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [Berry Go!! ~ 6th ~ (Marathon)],ln,density,6,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4609228,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [Owari to Hajimari no Oto ~ 8th ~ (Marathon)],ln,density,8,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4614493,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [Tsumibito ~ 7th ~ (Marathon)],ln,density,7,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4609226,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [Ordinary world ~ 9th ~ (Marathon)],ln,density,9,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4609222,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [Element of SPADA 1.1x ~ 10th ~ (Marathon)],ln,speed,12,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4609219,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [asphyxia 1.05x ~ Yoake ~ (Marathon)],ln,speed,11,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4609230,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [The lost ~ Yami ~ (Marathon)],ln,speed,14,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4609225,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [NUCLEAR-STAR ~ Yume ~ (Marathon)],ln,speed,15,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4609224,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [NEURO-CLOUD-9 ~ Yoru ~ (Marathon)],ln,speed,13,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4609232,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [R U Still xxxx 1.15x ~ Yokaze ~ (Marathon)],ln,speed,16,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4351661,Laur - Kokushi musou [World's Final End (17th edit)],ln,Unsigned,17,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4517847,Ludicin - Onus Rēgulus [In Abyss],ln,Unsigned,17,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
5029140,Various Artist - 4K LN Dan Courses - EXTRA - [17th Dan - Yeehee (Marathon)],ln,Unsigned,17,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
5366651,Ludicin - Blossom of Ashes [Divination of Calamity],ln,density,14.5,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
5366777,takehirotei - 定时地狱 ~The Perpetual Chaotically Unsynced Pendulum~ [Convergence],ln,Unsigned,14,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4824023,Laur - 国士無双 [LN bukbuk],ln,Unsigned,14.8,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4732296,ウォルピスカーター - Oxalis [Imitation],ln,Unsigned,13.6,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4652576,Xyris - Eviternity [LN Eviternity],ln,Unsigned,14.4,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
3793375,ああ…翡翠茶漬け… - stεganography [Cipher Encryption],ln,Unsigned,13.8,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4398536,Various Artists - Begin's 4K LN Pack Level 3 [Nanahoshi Kangengakudan - Andromeda],ln,density,15.2,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4398537,Various Artists - Begin's 4K LN Pack Level 3 [ROKINA - Icicle Stinger],ln,density,15.4,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
2808346,Dark Sambaland[Easy](mizuki) x1.05,jack,anchor chordjack,14.6,14.50,0.10,0.10
3580764,Dark Sambaland[Easy](mizuki) x1.2,jack,anchor chordjack,16.4,15.85,0.55,0.55
3245370,Martial Arts(xingren),jack,anchor chordjack,10.5,10.91,-0.41,0.41
3245369,Martial Arts(xingren) x1.05,jack,anchor chordjack,11,11.37,-0.37,0.37
3245376,Martial Arts(xingren) x1.3,jack,anchor chordjack,14.6,14.34,0.26,0.26
3245375,Martial Arts(xingren) x1.35,jack,anchor chordjack,15,15.00,0.00,0.00
3245377,Martial Arts(xingren) x1.4,jack,anchor chordjack,15.4,15.51,-0.11,0.11
3887441,Echo(ice v) x1.1,jack,anchor chordjack,14.5,14.46,0.04,0.04
4485050,Deep Down(shibeplanet) x0.95,jack,anchor chordjack,12.4,12.40,0.00,0.00
4496828,Deep Down(shibeplanet),jack,anchor chordjack,13.4,13.15,0.25,0.25
4485051,Deep Down(shibeplanet) x1.05,jack,anchor chordjack,13.8,13.40,0.40,0.40
3918921,Deep Down(shibeplanet) x1.1,jack,anchor chordjack,14.4,14.17,0.23,0.23
4485052,Deep Down(shibeplanet) x1.15,jack,anchor chordjack,15,14.43,0.57,0.57
3918922,Deep Down(shibeplanet) x1.2,jack,anchor chordjack,15.4,15.23,0.17,0.17
4485053,Deep Down(shibeplanet) x1.25,jack,anchor chordjack,16,15.65,0.35,0.35
1347529,Precious You(frolica) x1.1,jack,anchor chordjack,11,11.12,-0.12,0.12
1347530,Precious You(frolica) x1.2,jack,anchor chordjack,12.8,12.55,0.25,0.25
1347531,Precious You(frolica) x1.3,jack,anchor chordjack,14,13.49,0.51,0.51
3875257,Zillion Lights(rachel),jack,anchor chordjack,13.8,13.53,0.27,0.27
3875255,Zillion Lights(rachel) x1.1,jack,anchor chordjack,14.5,14.47,0.03,0.03
3875256,Zillion Lights(rachel) x1.2,jack,anchor chordjack,15.5,15.65,-0.15,0.15
1612787,Far in the blue sky[42](1nar) x0.9,jack,anchor chordjack,13,12.87,0.13,0.13
2793588,Far in the blue sky[42](1nar) x0.95,jack,anchor chordjack,13.8,13.74,0.06,0.06
2793593,Far in the blue sky[42](1nar),jack,anchor chordjack,14.4,14.23,0.17,0.17
2793589,Far in the blue sky[42](2nar) x1.05,jack,anchor chordjack,14.7,14.76,-0.06,0.06
2793590,Far in the blue sky[42](2nar) x1.1,jack,anchor chordjack,15.4,15.26,0.14,0.14
2793591,Far in the blue sky[42](2nar) x1.15,jack,anchor chordjack,15.7,15.79,-0.09,0.09
2793592,Far in the blue sky[42](2nar) x1.2,jack,anchor chordjack,16,16.30,-0.30,0.30
2295003,Daichi ni Saku Senritsu(rachel) x1.1,jack,anchor chordjack,12,12.82,-0.82,0.82
2295004,Daichi ni Saku Senritsu(rachel) x1.2,jack,anchor chordjack,13.6,13.74,-0.14,0.14
2295005,Daichi ni Saku Senritsu(rachel) x1.3,jack,anchor chordjack,14.4,14.62,-0.22,0.22
2295006,Daichi ni Saku Senritsu(rachel) x1.4,jack,anchor chordjack,15.4,15.50,-0.10,0.10
3442422,PAM!!!(mongol) x1.1,jack,dense chordjack,13.4,13.57,-0.17,0.17
3442423,PAM!!!(mongol) x1.2,jack,dense chordjack,14.6,14.46,0.14,0.14
3442424,PAM!!!(mongol) x1.3,jack,dense chordjack,15,15.37,-0.37,0.37
3442426,PAM!!!(mongol),jack,dense chordjack,12,12.05,-0.05,0.05
3442425,PAM!!!(mongol) x1.4,jack,dense chordjack,16.2,16.07,0.13,0.13
4405082,Onyx Veil(ltd),jack,dense chordjack,14.5,13.89,0.61,0.61
4405077,Onyx Veil(ltd) x1.1,jack,dense chordjack,15.4,15.23,0.17,0.17
3749286,KING(ade maine) x0.95,jack,dense chordjack,14.6,14.58,0.02,0.02
3749289,KING(ade maine),jack,dense chordjack,15.4,15.36,0.04,0.04
3749288,KING(ade maine) x1.05,jack,dense chordjack,16,15.86,0.14,0.14
3110936,Sendan Life(opakyl) x1.2,jack,dense chordjack,15,14.80,0.20,0.20
1889333,CG901B[impossible](rachel) x0.9,jack,dense chordjack,11,11.04,-0.04,0.04
1889340,CG902B[impossible](rachel),jack,dense chordjack,13.2,12.72,0.48,0.48
1889336,CG903B[impossible](rachel) x1.1,jack,dense chordjack,14,13.84,0.16,0.16
1889338,CG904B[impossible](rachel) x1.2,jack,dense chordjack,15,15.00,0.00,0.00
2808366,Tsuki Ai Tsuki Yo(zino) x1.1,jack,dense chordjack,14.6,14.66,-0.06,0.06
3321433,Exile(rachel),jack,dense chordjack,14.6,14.82,-0.22,0.22
3321436,Mutwa(rachel),jack,dense chordjack,16,15.80,0.20,0.20
3249972,Why We Lose(ena) x1.3,jack,dense chordjack,12,11.69,0.31,0.31
3249973,Why We Lose(ena) x1.4,jack,dense chordjack,13.4,12.59,0.81,0.81
2690149,Lemon Tree(lemmie),jack,dense chordjack,14,13.48,0.52,0.52
3663002,STRONG 280(isxi) x1.25,jack,dense chordjack,16.4,16.14,0.26,0.26
2827581,ch3rry(my angel koishi) x1.4,stamina,dense handstream,14,14.22,-0.22,0.22
2486099,Sorairo Days(icyworld) x1.5,stamina,dense handstream,14,13.78,0.22,0.22
5195214,ANOMALY(lynessa) x1.31,stamina,dense handstream,14,13.93,0.07,0.07
3123873,FUTURE DOMINATORS(icyworld),stamina,dense handstream,9,9.45,-0.45,0.45
3123869,FUTURE DOMINATORS(icyworld) x1.1,stamina,dense handstream,11,11.13,-0.13,0.13
3123870,FUTURE DOMINATORS(icyworld) x1.2,stamina,dense handstream,13.2,12.89,0.31,0.31
3123871,FUTURE DOMINATORS(icyworld) x1.3,stamina,dense handstream,14,14.01,-0.01,0.01
3123872,FUTURE DOMINATORS(icyworld) x1.4,stamina,dense handstream,14.6,14.78,-0.18,0.18
5430558,Cartoon Candy(lynessa) x1.05,stamina,dense handstream,14,14.00,0.00,0.00
4681531,Cartoon Candy(lynessa) x1.2,stamina,dense handstream,15.2,15.38,-0.18,0.18
3593323,Blackmagik Blazing(teradora),stamina,dense handstream,14,14.04,-0.04,0.04
3928951,Ragnarok(lynessa) x1.07,stamina,dense handstream,13.4,13.18,0.22,0.22
4421699,H.A.R.D.C.O.R.E(dannypx),stamina,dense handstream,12.8,11.49,1.31,1.31
1644635,Zenon(halogen) x1.5,stamina,dense handstream,14,14.00,0.00,0.00
3681222,CRIMSON FIGHTER[Armageddon](oxalicacid) x0.9,stamina,dense handstream,11.8,11.42,0.38,0.38
2168030,SILENT DESERT(teradora),stamina,dense handstream,14.4,14.11,0.29,0.29
3755311,SILENT DESERT(e9v2) x1.2,stamina,dense handstream,16.4,16.42,-0.02,0.02
3588134,Nibelungen(lynessa) x1.1,stamina,dense handstream,13,12.98,0.02,0.02
3535954,Heavens Fall(teradora),stamina,dense handstream,9,9.11,-0.11,0.11
3535945,Heavens Fall(teradora) x1.05,stamina,dense handstream,9.5,9.46,0.04,0.04
3535947,Heavens Fall(teradora) x1.1,stamina,dense handstream,10.5,11.03,-0.53,0.53
3535946,Heavens Fall(teradora) x1.15,stamina,dense handstream,11.4,11.14,0.26,0.26
3535949,Heavens Fall(teradora) x1.2,stamina,dense handstream,12.5,12.08,0.42,0.42
3535948,Heavens Fall(teradora) x1.25,stamina,dense handstream,13,12.92,0.08,0.08
3535950,Heavens Fall(teradora) x1.35,stamina,dense handstream,14,14.01,-0.01,0.01
3535952,Heavens Fall(teradora) x1.45,stamina,dense handstream,14.7,14.63,0.07,0.07
4133253,Love is War(night bunny) x1.15,stamina,dense handstream,12.4,11.90,0.50,0.50
5407219,Love is War(night bunny) x1.33,stamina,dense handstream,14,14.14,-0.14,0.14
4632845,Dimension War(oceanus),stamina,dense handstream,15.4,14.82,0.58,0.58
4758417,KOKUSHIMUSOU(oceanus) x0.95,stamina,dense handstream,15.4,15.69,-0.29,0.29
4758412,KOKUSHIMUSOU(oceanus),stamina,dense handstream,16,16.23,-0.23,0.23
1753421,Quadraphinix(xay) x1.3,stamina,dense handstream,12.4,12.01,0.39,0.39
1753422,Quadraphinix(xay) x1.4,stamina,dense handstream,13.5,13.27,0.23,0.23
5120065,MEGALOMANIA(omni),stamina,dense handstream,14,14.30,-0.30,0.30
2110279,MEGALOMANIA(rachel),stamina,dense handstream,14,13.88,0.12,0.12
3850572,Perfect Cherry Storm(teradora) x1.45,stamina,dense handstream,14.6,15.09,-0.49,0.49
4786209,Inner Universe(teradora) x1.885,stamina,dense handstream,16.6,16.05,0.55,0.55
5370949,Inner Universe(teradora) x1.755,stamina,dense handstream,15.4,15.30,0.10,0.10
1304131,Chaoz Airflow(icyworld) x1.2,stamina,dense handstream,10.4,9.45,0.95,0.95
4476886,Bluenation(xingyue) x1.2,stamina,dense handstream,11,11.05,-0.05,0.05
4476891,Bluenation(xingyue) x1.4,stamina,dense handstream,13.6,13.01,0.59,0.59
4476908,Bluenation(xingyue) x1.45,stamina,dense handstream,14,13.85,0.15,0.15
3850571,STRONG 280(sp7v2),stamina,dense handstream,14.6,14.92,-0.32,0.32
2292214,Serment(xingyue) x1.3,stamina,dense handstream,13.7,13.76,-0.06,0.06
473228,FREEDOM DIVE(DIMENSIONS),stamina,dense jumpstream,10,11.37,-1.37,1.37
3157010,Fragment(my angel koish) x1.4,stamina,dense jumpstream,13,12.96,0.04,0.04
1453293,Burst Linker(wafles) x1.3,stamina,dense jumpstream,12.6,12.75,-0.15,0.15
5195395,Burst Linker(wafles) x1.47,stamina,dense jumpstream,14,14.00,0.00,0.00
1938168,Cyber Inductance(icyworld) x1.3,stamina,dense jumpstream,12,11.77,0.23,0.23
4589562,Cyber Inductance(icyworld) x1.47,stamina,dense jumpstream,14,13.99,0.01,0.01
2196122,Cyber Inductance(icyworld) x1.7,stamina,dense jumpstream,15.4,15.17,0.23,0.23
4310620,Cyber Inductance(icyworld) x1.525,stamina,dense jumpstream,14.4,13.88,0.52,0.52
1699290,Pacific Girls(icyworld) x1.5,stamina,dense jumpstream,15,14.94,0.06,0.06
3854148,Over the Fullereneshift(fullerene) x1.4,stamina,dense jumpstream,13.8,13.63,0.17,0.17
1425975,Japanese Transformation(fullerene) x1.2,stamina,dense jumpstream,14.5,14.86,-0.36,0.36
787944,The Empress(underjoy) x1.05,stamina,dense jumpstream,14,13.84,0.16,0.16
2701198,Time to Say Goodbye(halogen) x1.15,stamina,dense jumpstream,14,13.79,0.21,0.21
2701200,Time to Say Goodbye(halogen) x1.2,stamina,dense jumpstream,14.4,14.18,0.22,0.22
2633097,Sakazuki(Rachel),jack,high chordjack,12.8,12.49,0.31,0.31
4597208,Sakazuki(Rachel) x1.05,jack,high chordjack,13.4,13.22,0.18,0.18
3630235,Sakazuki(Rachel) x1.1,jack,high chordjack,14,13.67,0.33,0.33
3630234,Sakazuki(Rachel) x0.9,jack,high chordjack,11.8,10.73,1.07,1.07
3630236,Sakazuki(Rachel) x1.2,jack,high chordjack,14.8,14.66,0.14,0.14
3630237,Sakazuki(Rachel) x1.3,jack,high chordjack,16,15.85,0.15,0.15
3663000,Sakazuki(Rachel) x1.35,jack,high chordjack,16.5,16.35,0.15,0.15
3521930,Hiasobi(focogamer) x1.1,jack,high chordjack,12.8,12.84,-0.04,0.04
3521932,Hiasobi(focogamer) x1.2,jack,high chordjack,14,13.80,0.20,0.20
3928116,Joker(Rachel),jack,high chordjack,15.4,15.35,0.05,0.05
3887322,Dark Sambaland x1.2,jack,high chordjack,13.8,13.78,0.02,0.02
1705687,Flower Dance(hievery) x1.3,jack,high chordjack,10.6,9.68,0.92,0.92
1705688,Flower Dance(hievery) x1.4,jack,high chordjack,12,11.90,0.10,0.10
2121684,Hitogata(ice v),jack,high chordjack,13.6,13.46,0.14,0.14
2727203,Hitogata(ice v) x1.05,jack,high chordjack,14.4,14.36,0.04,0.04
4387971,Hitogata(ice v) x1.15,jack,high chordjack,15,15.36,-0.36,0.36
3479384,I Love It(lynessa),jack,high chordjack,10.5,10.35,0.15,0.15
3479388,I Love It(lynessa) x1.2,jack,high chordjack,14,14.01,-0.01,0.01
2808358,I Love It(lynessa) x1.3,jack,high chordjack,15,14.65,0.35,0.35
4584948,Dat Phonk(smokydoh),jack,high chordjack,13.6,13.23,0.37,0.37
4584946,Dat Phonk(smokydoh) x0.9,jack,high chordjack,12.4,12.24,0.16,0.16
4072972,Dat Phonk(smokydoh) x1.1,jack,high chordjack,14.8,14.37,0.43,0.43
4072973,Dat Phonk(smokydoh) x1.15,jack,high chordjack,15.1,15.11,-0.01,0.01
3841896,MURDER IN MY MIND x1.2,jack,high chordjack,13,12.54,0.46,0.46
2802345,Hari no Sora(xingyue) x1.2,jack,high chordjack,13.6,13.36,0.24,0.24
5430570,Hari no Sora(xingyue) x1.27,jack,high chordjack,14,13.80,0.20,0.20
3545958,Unmeiron(ena),jack,high chordjack,14.9,14.86,0.04,0.04
3545959,Unmeiron(ena) x0.95,jack,high chordjack,14.6,14.29,0.31,0.31
2818882,Hustler(xingyue),jack,high chordjack,12.8,12.61,0.19,0.19
3986998,Hustler(xingyue) x1.05,jack,high chordjack,13.4,13.38,0.02,0.02
3987000,Hustler(xingyue) x1.15,jack,high chordjack,14.6,14.35,0.25,0.25
3986995,Hustler(xingyue) x1.2,jack,high chordjack,15,14.71,0.29,0.29
3986999,Hustler(xingyue) x1.25,jack,high chordjack,15.4,15.19,0.21,0.21
3986997,Hustler(xingyue) x1.3,jack,high chordjack,16,15.69,0.31,0.31
3509184,Seen(ena),jack,high chordjack,13.4,13.50,-0.10,0.10
3509180,Seen(ena) x1.05,jack,high chordjack,14,13.72,0.28,0.28
3509181,Seen(ena) x1.15,jack,high chordjack,15,14.79,0.21,0.21
3509183,Seen(ena) x1.2,jack,high chordjack,15.6,15.54,0.06,0.06
3662982,Seen(ena) x1.25,jack,high chordjack,16,15.77,0.23,0.23
3576374,Can't Give it Up(jhown),jack,high chordjack,13,12.91,0.09,0.09
3576378,Can't Give it Up(jhown) x1.2,jack,high chordjack,15,14.89,0.11,0.11
2357903,Triumphal Return(doudou0310) x1.2,jack,high chordjack,13.7,13.85,-0.15,0.15
2357902,Triumphal Return(doudou0310) x1.25,jack,high chordjack,14.4,14.31,0.09,0.09
2357904,Triumphal Return(doudou0310) x1.3,jack,high chordjack,14.8,14.50,0.30,0.30
3526591,Triumphal Return(doudou0310) x1.4,jack,high chordjack,15.6,15.43,0.17,0.17
3182551,Dusk(mintapril),jack,high chordjack,8,8.57,-0.57,0.57
3182552,Dusk(mintapril) x1.1,jack,high chordjack,11,10.70,0.30,0.30
3182553,Dusk(mintapril) x1.2,jack,high chordjack,12.6,12.46,0.14,0.14
3182554,Dusk(mintapril) x1.3,jack,high chordjack,13.6,13.37,0.23,0.23
4633597,Darling Dance(rachel),jack,high chordjack,14,14.03,-0.03,0.03
4633595,Darling Dance(rachel) x1.1,jack,high chordjack,15,14.96,0.04,0.04
4633594,Darling Dance(rachel) x1.15,jack,high chordjack,15.4,15.44,-0.04,0.04
4633596,Darling Dance(rachel) x1.2,jack,high chordjack,16.4,15.90,0.50,0.50
4622294,KEEP IT UP(ltd) x1.4,jack,high chordjack,16.6,16.77,-0.17,0.17
2808334,Deconstruction Star(xuecai),jack,high chordjack,13.6,13.81,-0.21,0.21
3412538,Deconstruction Star(xuecai) x1.15,jack,high chordjack,15.6,15.55,0.05,0.05
4637635,YoiYoi Kokon(lynessa) x1.05,jack,high chordjack,13.6,12.97,0.63,0.63
4408173,GOODTEK(signicial),jack,high chordjack,15.2,15.00,0.20,0.20
2716033,The Light(blue potion),jack,high chordjack,13.6,13.82,-0.22,0.22
2963655,The Light(blue potion) x1.1,jack,high chordjack,15.8,14.92,0.88,0.88
4103082,Idol(laoxiao),jack,high chordjack,14,13.64,0.36,0.36
3687776,Flowering(ena),jack,high chordjack,14,13.21,0.79,0.79
3687774,Flowering(ena) x1.1,jack,high chordjack,14.5,14.44,0.06,0.06
3687775,Flowering(ena) x1.2,jack,high chordjack,16,15.10,0.90,0.90
4383327,Observation(jhown) x0.8,jack,high chordjack,14,14.08,-0.08,0.08
4383328,Observation(jhown) x0.85,jack,high chordjack,14.6,14.91,-0.31,0.31
4383329,Observation(jhown) x0.9,jack,high chordjack,15.4,15.25,0.15,0.15
4383330,Observation(jhown) x0.95,jack,high chordjack,16,16.08,-0.08,0.08
4383325,Observation(jhown),jack,high chordjack,16.4,16.66,-0.26,0.26
4794368,Rengetsu Outa(jhown),jack,high chordjack,14,12.99,1.01,1.01
4794371,Rengetsu Outa(jhown) x1.05,jack,high chordjack,14.4,13.75,0.65,0.65
4010382,Please(hikarnayo),jack,high chordjack,14.4,14.62,-0.22,0.22
3321435,Lost One no Goukoku(rachel),jack,high chordjack,15,14.57,0.43,0.43
4387962,Break It(ice v),jack,high chordjack,15,14.93,0.07,0.07
1066057,Break(loved),jack,high chordjack,11,11.36,-0.36,0.36
3065264,Break(loved) x1.2,jack,high chordjack,14.4,13.80,0.60,0.60
3065265,Break(loved) x1.3,jack,high chordjack,15,14.82,0.18,0.18
3095005,Break(loved) x1.4,jack,high chordjack,16,15.74,0.26,0.26
3816043,Bookmaker(rachel),jack,high chordjack,14.3,13.93,0.37,0.37
2862626,Bookmaker(rachel) x1.05,jack,high chordjack,14.6,14.90,-0.30,0.30
2289290,Anhedonia[38](8230),jack,high chordjack,15.2,15.26,-0.06,0.06
3125227,Anhedonia[38](8230) x0.95,jack,high chordjack,14.7,14.72,-0.02,0.02
3125228,Anhedonia[38](8230) x1.05,jack,high chordjack,15.6,15.82,-0.22,0.22
2497871,Sky is the Limit(aeyeong),jack,high chordjack,13,12.85,0.15,0.15
1990238,Sky is the Limit(aeyeong) x1.1,jack,high chordjack,14.5,14.23,0.27,0.27
4487955,OdoRobo(jinkill) x1.1,jack,high chordjack,14.1,13.84,0.26,0.26
3476974,Don't let you down(rg8v3),jack,high chordjack,7.9,8.39,-0.49,0.49
3476968,Kikai Shoujo Gensou(rg9v3),jack,high chordjack,8.5,9.71,-1.21,1.21
3824604,Hifumi Daisuki[Hard](Magikarp1234),jack,high chordjack,13.6,12.29,1.31,1.31
4010826,Re Aoharu(magikarp),jack,high chordjack,4.8,4.04,0.76,0.76
4388484,hurricanic(stupud man),speed,high stream,14,13.89,0.11,0.11
3171267,hurricanic(stupud man) x1.05,speed,high stream,14.4,14.28,0.12,0.12
4388482,hurricanic(stupud man) x1.1,speed,high stream,15,14.72,0.28,0.28
4388481,hurricanic(stupud man) x1.15,speed,high stream,15.4,14.93,0.47,0.47
4388483,hurricanic(stupud man) x1.2,speed,high stream,16,15.68,0.32,0.32
3358944,Volcanic(attang) x0.8,speed,high stream,11,9.82,1.18,1.18
3358945,Volcanic(attang) x0.9,speed,high stream,12.5,12.44,0.06,0.06
2808935,Volcanic(attang) x1.05,speed,high stream,14.4,14.03,0.37,0.37
3358946,Volcanic(attang) x1.1,speed,high stream,15,15.10,-0.10,0.10
2965239,Volcanic(attang) x1.15,speed,high stream,15.4,14.95,0.45,0.45
3358947,Volcanic(attang) x1.2,speed,high stream,16,15.85,0.15,0.15
3321837,Yozakura(ska) x0.9,speed,high stream,13.6,13.17,0.43,0.43
3321838,Yozakura(ska) x0.95,speed,high stream,14,13.97,0.03,0.03
3321840,Yozakura(ska),speed,high stream,14.3,14.13,0.17,0.17
3321839,Yozakura(ska) x1.05,speed,high stream,14.6,14.53,0.07,0.07
1455991,Moon Gate x1.2,speed,high stream,14.6,14.59,0.01,0.01
5255749,Moon Gate x1.25,speed,high stream,15,15.51,-0.51,0.51
5195385,Blue Noah 2006[Lv.28](attang) 0.95,speed,high stream,14,14.14,-0.14,0.14
1496206,Blue Noah 2006[Lv.28](attang),speed,high stream,14.6,14.03,0.57,0.57
1644632,Blue Noah 2006[Lv.28](attang) x1.1,speed,high stream,15.4,15.25,0.15,0.15
1990237,Angel Dust(tachyon) x1.1,speed,high stream,14.4,14.10,0.30,0.30
3294543,Misery(signicial) x1.1,speed,high stream,14,14.22,-0.22,0.22
3294542,Misery(signicial) x1.15,speed,high stream,14.6,14.37,0.23,0.23
3294546,Misery(signicial) x1.2,speed,high stream,15,14.80,0.20,0.20
3294544,Misery(signicial) x1.25,speed,high stream,15.4,15.24,0.16,0.16
3294549,Misery(signicial) x1.3,speed,high stream,16,15.72,0.28,0.28
3294547,Misery(signicial) x1.35,speed,high stream,16.4,16.20,0.20,0.20
2875457,Angel's Salad(penguinosity),tech,jack tech,11,10.96,0.04,0.04
2860220,Forgotten[Collab(2015)],tech,jack tech,11,10.88,0.12,0.12
2860210,Forgotten[Collab(2015)] x1.05,tech,jack tech,12,11.75,0.25,0.25
2860212,Forgotten[Collab(2015)] x1.1,tech,jack tech,12.4,12.65,-0.25,0.25
3755586,Odoru Mizushibuki x1.2,tech,jack tech,12.6,12.80,-0.20,0.20
3755587,Odoru Mizushibuki x1.3,tech,jack tech,13.6,13.78,-0.18,0.18
3755588,Odoru Mizushibuki x1.4,tech,jack tech,14.6,14.62,-0.02,0.02
3168876,Odoru Mizushibuki x1.43,tech,jack tech,15,14.77,0.23,0.23
3824635,Usagi Flap[Tech](Magikarp1234),tech,jack tech,10.5,9.88,0.62,0.62
4606873,Still Into You(ska) x1.16,tech,jack tech,13.4,13.86,-0.46,0.46
3322182,BLUE ARMY[UNFORGIVING ASSAULT],stamina,light handstream,13.4,13.64,-0.24,0.24
4610329,BLUE ARMY[UNFORGIVING ASSAULT] x1.06,stamina,light handstream,13.8,14.39,-0.59,0.59
3645838,The Empress(underjoy) x1.1,stamina,light handstream,14.6,13.97,0.63,0.63
3645837,The Empress(underjoy) x1.15,stamina,light handstream,15,14.91,0.09,0.09
5194163,Firmament Castle Velier x1.3,stamina,light handstream,14,13.77,0.23,0.23
4589591,Speed of Link[Tachyon](shoegazer) 1.23,stamina,light jumpstream,14,14.12,-0.12,0.12
3348224,FAKE PROMISE(shoegazer) x1.4,stamina,light jumpstream,12.8,12.78,0.02,0.02
2972845,Gekka Bijin(hylotl),stamina,light jumpstream,14.4,13.61,0.79,0.79
2567896,The Fate of(blessia),stamina,light jumpstream,14,13.86,0.14,0.14
1887431,Aquaris(snover) x1.2,jack,low chordjack,13,12.88,0.12,0.12
1426702,Double Universe(hydria),jack,low chordjack,14,13.90,0.10,0.10
3476969,Koi Kou Enishi(rg3v3),jack,low chordjack,3.6,3.70,-0.10,0.10
3476970,Umiyuri Kaiteitan(rg4v3),jack,low chordjack,4.1,4.60,-0.50,0.50
3476971,Platinum Disco(rg5v3),jack,low chordjack,5,4.42,0.58,0.58
3476972,Chocolate Disco(rg6v3),jack,low chordjack,5.8,5.88,-0.08,0.08
3928690,Reflec Streamz(gamma) x1.15,speed,low stream,14.6,14.46,0.14,0.14
3251778,Lalala.Refrain[HD](snowph),speed,low stream,13.8,13.46,0.34,0.34
3251776,Lalala.Refrain[HD](snowph) x1.1,speed,low stream,14.6,14.67,-0.07,0.07
3989159,Luminous Memory(super10killer),speed,low stream,14,14.12,-0.12,0.12
